id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price,last_review,reviews_per_month
905007131419044966,*The Red House* 4 Bedrooms•Just Renovated/Listed,349460842,Scott,TENTH WARD,42.66217,-73.78299,Entire home/apt,1,20,5,339,20,197.0,2024-01-20,2
917639722733180899,Everything you need! Modern Gem on New Scotland,471810429,Maria,SEVENTH WARD,42.6519373044865,-73.7859301170156,Entire home/apt,3,74,1,0,74,156.0,2024-03-01,8
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,THIRTEENTH WARD,42.6706607644236,-73.7957120501851,Entire home/apt,1,17,1,216,17,77.0,2024-03-03,2
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,THIRTEENTH WARD,42.6713241076295,-73.792471866759,Entire home/apt,1,11,22,349,11,150.0,2024-02-17,1
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,Fs,ELEVENTH WARD,42.6708367,-73.7853116,Private room,2,13,4,345,13,45.0,2024-02-27,1
938431811499141903,The little room with TV and twin bed,116935236,Fs,THIRTEENTH WARD,42.669735657514,-73.7861065819747,Private room,2,12,4,360,12,35.0,2024-03-08,1
942750363293463100,The spacious room w/ dresser/desk,116935236,Fs,ELEVENTH WARD,42.6703390196289,-73.7850980117158,Private room,2,3,4,267,3,50.0,2024-03-05,1
950211425725610511,"Historic, Spacious Mansion Suite",1717342,David,SIXTH WARD,42.6541815,-73.7608605,Entire home/apt,1,54,2,0,54,128.0,2024-03-05,7
956423465030072969,Comfy 1-Br Near Washington Park,491607190,Abba,TENTH WARD,42.6600084307191,-73.7739729561935,Entire home/apt,1,8,6,0,8,115.0,2023-11-01,1
957914480227791276,"2 bedroom+home office, private parking & backyard",217254883,Ermenita,NINTH WARD,42.6549886,-73.7939094,Entire home/apt,1,38,1,297,38,129.0,2024-03-03,5
963920695464462572,Comfy studio in heart of Albany,189586864,Justin,SIXTH WARD,42.6524086305144,-73.7700214107134,Entire home/apt,1,17,1,358,17,89.0,2024-03-08,2
966287799980701967,"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,Tanjin,FIFTEENTH WARD,42.6705939856185,-73.8167828814531,Entire home/apt,3,6,1,91,6,100.0,2024-03-07,1
971129128316810875,Morning Zen,535042691,Chadell,THIRD WARD,42.656795506697,-73.7533566152275,Entire home/apt,1,16,1,0,16,108.0,2024-02-18,2
983307301778877403,The Rizzy Stay,426223840,Antonio,ELEVENTH WARD,42.6639156551721,-73.7778694555163,Entire home/apt,1,16,2,242,16,114.0,2024-03-10,2
989897095065962672,Minutes from hospitals and Universities,109133858,Priscilla,THIRTEENTH WARD,42.6715992520812,-73.7979865671062,Entire home/apt,1,1,1,245,1,218.0,2024-02-18,1
990935487146379699,Garden level apartment | Center Sq-great location!,93905065,Grace,SIXTH WARD,42.652599240075,-73.761780139996,Entire home/apt,1,5,1,151,5,87.0,2024-03-09,3
992554549672159765,"Beautiful large home, private parking",476189412,Timothy,SEVENTH WARD,42.6448568709646,-73.7728188116962,Entire home/apt,2,3,2,73,3,279.0,2024-02-25,2
993431459821117738,Albany 3 Bedroom Apt. Sleeps 6,309980121,Ron,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,2,12,1,38,12,110.0,2024-02-29,2
999161887055542119,"Spacious Apartment Downtown Albany, NY",531209536,Amar,THIRD WARD,42.6576158954214,-73.7511588547267,Entire home/apt,1,8,1,335,8,154.0,2024-02-25,1
1004978540001566331,Elegant Albany Retreat | Mins to Downtwn & St Rose,31318080,Cindy,EIGHTH WARD,42.6554977755084,-73.8106566601018,Entire home/apt,2,2,1,150,2,143.0,2024-03-09,2
1005314747552182329,Lil' Studio on Washington Park,462767507,Joshua,SIXTH WARD,42.6548390071196,-73.7674333870007,Entire home/apt,1,7,4,342,7,83.0,2024-03-08,1
1005978346817864540,4BD/2BA 2-Story Townhouse Apt Downtown Albany,44434571,Earl,SECOND WARD,42.6453489,-73.7536465,Entire home/apt,1,11,6,328,11,191.0,2024-02-25,2
1007354086435981132,Top floor w/off street parking,232967878,Diana,TENTH WARD,42.661365504548,-73.784823195217,Entire home/apt,1,9,22,267,9,189.0,2024-02-17,2
1010759793485911351,Cozy room in ideally located manor with hot tub,382970529,Thomas,THIRTEENTH WARD,42.6700277550938,-73.7977054151877,Private room,1,15,10,259,15,50.0,2024-02-29,3
1010759799610182054,Cozy Room in grand home with hot tub and coffee!,382970529,Thomas,THIRTEENTH WARD,42.6697096084112,-73.797549986088,Private room,1,14,10,249,14,50.0,2024-02-29,3
1013659440189111738,Cozy Room centrally located with hot tub,382970529,Thomas,FOURTEENTH WARD,42.668731165734,-73.7993028937113,Private room,1,13,10,208,13,50.0,2024-01-15,3
1014871544925070480,Mini Mansion,509662927,Sergio,EIGHTH WARD,42.6454943885715,-73.8328273635091,Entire home/apt,1,18,1,276,18,347.0,2024-03-06,4
1016050146219474145,Heart of Albany - Downtown Near Everything,42708277,Rodney,SIXTH WARD,42.6553868027073,-73.7641636920653,Entire home/apt,1,6,2,286,6,95.0,2024-02-25,1
1018299533220989494,Huge house in perfect spot with Hot Tub and Coffee,382970529,Thomas,THIRTEENTH WARD,42.6699608987057,-73.7981565369516,Private room,1,14,10,262,14,50.0,2024-03-03,3
1018972187574908115,1 Comfy Bedroom Across the Park,37769478,Erion,SIXTH WARD,42.6535,-73.77046,Entire home/apt,1,12,8,362,12,73.0,2024-03-08,3
1020518500251473070,Downtown Studio,233515764,Etem,SECOND WARD,42.6471387985758,-73.7546608201248,Entire home/apt,1,13,1,73,13,65.0,2024-03-10,4
1021011347006185640,*N E W* Modern 1 Bedroom RARE Apt w office space,47625981,Linda,THIRD WARD,42.6597070027454,-73.7638210478537,Entire home/apt,1,7,15,244,7,119.0,2024-02-25,2
