id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price,last_review,reviews_per_month
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,Linda,FOURTH WARD,42.65856,-73.74866,Entire home/apt,1,65,15,358,23,115.0,2024-02-18,2
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,THIRD WARD,42.65812,-73.74941,Entire home/apt,3,69,3,344,25,85.0,2024-02-19,2
51710034,Empire Plaza View I,392074908,Jerry,SIXTH WARD,42.65269,-73.76076,Entire home/apt,2,32,5,221,10,88.0,2023-11-12,1
51960331,"Tuscan Garden Apt at Café Capriccio Albany, NY",418024477,Marlene,SECOND WARD,42.64684,-73.75614,Entire home/apt,1,80,1,162,13,125.0,2024-03-10,2
52152157,"Modern space, everything you could want!",152762198,Allen,FIRST WARD,42.63066,-73.77357,Entire home/apt,3,50,9,122,15,99.0,2024-02-26,1
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,SIXTH WARD,42.65641,-73.76413,Entire home/apt,1,205,1,0,78,87.0,2024-02-29,7
52359404,3 bedroom quiet neighborhood w/ off street parking,207800855,Iris,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,1,79,2,358,38,120.0,2024-03-03,2
52360097,Empire Plaza View II,392074908,Jerry,SIXTH WARD,42.65386,-73.75958,Entire home/apt,2,64,5,0,7,88.0,2024-01-12,2
52569714,* Swanky Triplex in Historic building w/parking *,232967878,Diana,SECOND WARD,42.64186,-73.75868,Entire home/apt,1,52,22,86,14,135.0,2024-02-19,1
52611613,* Adorable home w/parking near great restaurants *,232967878,Diana,NINTH WARD,42.65674,-73.79221,Entire home/apt,2,101,22,79,39,185.0,2024-02-10,3
52619545,* Centrally located Eclectic vibe 2 bed w/parking,232967878,Diana,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,2,70,22,87,28,125.0,2024-01-01,2
52836323,*Hidden gem w/in walking distance to Madison Ave *,232967878,Diana,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,1,57,22,0,32,145.0,2024-02-24,2
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,Linda,FOURTH WARD,42.65812,-73.74837,Entire home/apt,1,60,15,271,20,115.0,2024-02-29,2
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,SIXTH WARD,42.65826,-73.76944,Entire home/apt,1,146,3,332,57,119.0,2024-02-28,5
53312101,* 1 bed near Times Union center & Egg w/parking *,232967878,Diana,SECOND WARD,42.64369,-73.7581,Entire home/apt,1,41,22,85,22,95.0,2024-01-14,1
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,1,107,3,244,42,175.0,2024-03-08,4
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,1,180,3,320,70,99.0,2024-03-08,6
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,1,75,15,349,30,150.0,2024-01-01,2
54126420,Beautiful 1 bedroom in a quiet residential area.,37769478,Erion,TENTH WARD,42.66261,-73.79026,Entire home/apt,1,67,8,364,22,75.0,2024-03-01,3
54126421,Beautiful Apartment in the heart of Albany,37769478,Erion,SIXTH WARD,42.65422,-73.76996,Entire home/apt,1,56,8,354,24,100.0,2024-02-18,2
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,Erion,SIXTH WARD,42.65403,-73.77056,Entire home/apt,1,101,8,250,4,100.0,2024-01-14,3
54150131,Charming 170-Year-Old Home in the Heart of Albany,432936385,Jared,SIXTH WARD,42.65155,-73.765,Entire home/apt,1,121,1,267,73,146.0,2024-03-10,5
54369238,"Cozy townhouse, close to hospital, free parking!",152762198,Allen,NINTH WARD,42.65578,-73.78641,Entire home/apt,3,31,9,103,23,99.0,2023-12-25,1
54369240,Lovely 1 bedroom rental close to Alb Med!,152762198,Allen,TENTH WARD,42.65905,-73.77964,Entire home/apt,2,39,9,277,26,79.0,2024-03-06,1
565171585673492875,Lovely 1 bed apartment close to MVP Arena,232967878,Diana,SECOND WARD,42.64342,-73.75742,Entire home/apt,1,68,22,0,29,120.0,2024-02-23,2
581057744765912905,◆UNIQUE◆ spacious LOFT with photo studio w/d!,47625981,Linda,THIRD WARD,42.65848,-73.76359,Entire home/apt,1,38,15,0,14,115.0,2024-02-18,1
593272120497643087,Lux Suite at the Historic Jesse Buel House.,382970529,Thomas,THIRTEENTH WARD,42.66911,-73.79869,Private room,1,84,10,0,55,89.0,2024-03-02,4
594826539132503237,Oversized studio with free parking & Netflix,232967878,Diana,SECOND WARD,42.64252,-73.75688,Entire home/apt,1,70,22,0,36,119.0,2024-02-23,2
610090811367811938,Cozy rental near hospitals! Off street parking,40548251,Reyana,NINTH WARD,42.652049,-73.7949665,Entire home/apt,2,33,1,333,20,100.0,2024-02-24,2
617242073954595468,Iconic City Center Apt in Downtown | Pets Allowed,433096110,Brian,SIXTH WARD,42.65353,-73.7679,Entire home/apt,1,113,3,266,55,113.0,2024-03-03,5
623102454293479631,Walk everywhere! Stylish apartment for up to 5,1176120,Julia,THIRD WARD,42.65723,-73.75684,Entire home/apt,1,127,3,85,58,129.0,2024-02-25,5
623454291327573992,Lovely 3 bedroom unit in Albany,249258548,Umer,SEVENTH WARD,42.64372,-73.78426,Entire home/apt,2,26,4,0,8,130.0,2024-02-18,1
625346918039601608,Charming Garden Apartment in Center Square,12742779,Kathryn,SIXTH WARD,42.65347,-73.7662,Entire home/apt,1,184,1,302,113,108.0,2024-03-06,8
628163387057233327,★SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!★,47625981,Linda,SECOND WARD,42.64528,-73.75861,Entire home/apt,1,36,15,355,20,120.0,2023-10-29,1
631035244220396236,★PRIVATE 1 BDRM Newly Renovated Apt W/D Patio★,47625981,Linda,SECOND WARD,42.64558,-73.75928,Entire home/apt,1,40,15,214,18,115.0,2023-10-30,1
634108143238179968,Perfect for Families  and Traveling Professionals,119340359,Lori,SIXTH WARD,42.65323,-73.76797,Entire home/apt,1,85,2,148,46,149.0,2024-03-06,3
636902252641496970,Cozy Private Room in a Residential House in Albany,376794541,Neha,ELEVENTH WARD,42.6635364,-73.7778236,Private room,10,21,3,176,8,44.0,2023-08-16,1
637104152785938471,Walk everywhere! Stylish downtown Albany 2BR,1176120,Julia,THIRD WARD,42.65802,-73.756165,Entire home/apt,1,123,3,0,62,129.0,2024-02-11,5
642909221333428607,Charming City Retreat | Walk to Dining + Park,462767507,Joshua,SIXTH WARD,42.65427,-73.76455,Entire home/apt,3,26,4,328,20,97.0,2024-02-24,1
652889455649176778,Hali Haven Downtown Albany MVP Arena,426253886,Aggie,SECOND WARD,42.64595,-73.76196,Entire home/apt,1,48,3,327,30,99.0,2024-02-11,2
654302747324294105,★ Private 1 bdrm w/ backyard access ★ In-unit W/D,47625981,Linda,FOURTH WARD,42.65752,-73.74743,Entire home/apt,1,37,15,247,19,115.0,2024-02-25,1
667644674529935702,Pied-a-terre albany,439560254,Sean,SIXTH WARD,42.6554138092502,-73.7636752054095,Entire home/apt,2,64,1,0,37,118.0,2024-02-28,3
668608096674070882,The Rose Room at Historic Buel House,382970529,Thomas,FOURTEENTH WARD,42.66758,-73.7992,Private room,1,96,10,0,55,75.0,2024-03-03,4
668608486588067880,The Silk and Sun Room at Historic Jesse Buel House,382970529,Thomas,FOURTEENTH WARD,42.66764,-73.79908,Private room,1,83,10,0,50,75.0,2024-02-25,4
677763754609430189,Peaceful 3 Bedroom in the Heart of Central Albany,471187792,Romel,THIRTEENTH WARD,42.6694413,-73.7974941,Entire home/apt,1,56,1,25,31,141.0,2024-01-26,2
682687626408133288,Lovely 4 bed 2 bath located near St Rose,232967878,Diana,TENTH WARD,42.66172,-73.78497,Entire home/apt,1,84,22,0,54,179.0,2024-02-23,4
684100173908872919,Cozy 1BR with Patio in the Heart of Albany,1176120,Julia,THIRD WARD,42.65732,-73.75676,Entire home/apt,1,80,3,59,48,99.0,2024-02-06,4
689719338468663432,"Elegant, spacious studio apt in historic mansion",1717342,David,SIXTH WARD,42.6540576503715,-73.7607129962952,Entire home/apt,1,151,2,219,113,102.0,2024-03-08,7
692807914756117019,Relax in Style by Washington Park - Free Parking,67337944,Rabia,ELEVENTH WARD,42.6623,-73.777,Entire home/apt,1,68,1,0,58,115.0,2024-02-21,4
708148232281445824,Mambo House Downtown Albany Governor's Mansion,426253886,Aggie,SECOND WARD,42.64638,-73.76146,Entire home/apt,1,39,3,346,28,90.0,2024-02-23,2
717373135846408345,Centrally located 2 bed w/ off street parking,232967878,Diana,THIRTEENTH WARD,42.6732,-73.79199,Entire home/apt,2,30,22,79,20,135.0,2024-01-08,1
723956857052424266,"Modern home, King Bed 4 bed 2bath, Crib,parking",10279606,Nori,NINTH WARD,42.65691,-73.78389,Entire home/apt,1,121,1,0,94,187.0,2024-02-25,7
